Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SST,,19922.40922,19842.13783,19912.46901,19849.19425,19996.86151,20142.69812,20168.5909,19642.45974,18915.61107,18182.83957,17739.54424,17403.78461,17185.08502,17088.75039,17122.48832,17202.26773,17174.96915,16841.54071,17033.80976,17121.79299,16717.71726
SLB,,23000,20000,17500,15200,14000,13600,14000,14700,15000,14800,14000,13500,13000,12900,12800,12900,12900,12700,12500,12500,12700
SOM,,,,,,,,,,,,,,,,,,,,,,
ZAF,,5000,5000,5000,5100,5200,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SAS,,27674.5966,27335.17456,28085.25302,27637.15508,26185.36961,24261.60114,22643.96273,21734.3914,21081.34699,21459.26159,21530.04832,21641.23645,21243.04391,21127.85045,20645.15462,20052.80101,19355.47654,19020.95085,18838.88793,18484.85021,17788.43267
SSD,,,,,,,,,,,,,,,,,,,,,,
ESP,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
LKA,,33900,33800,33400,31800,31300,30700,30300,29600,28800,28700,28600,28900,28900,28700,27900,27100,26400,25700,25200,24500,24000
KNA,,15800,18100,19800,20700,21700,22600,22700,21600,19800,19000,18900,20100,21100,21800,21100,19900,18600,17600,16600,15500,14000
LCA,,11900,10000,9700,10000,10200,10100,10200,10600,11000,11600,11800,11900,11900,11700,11600,11500,12000,12600,13500,14300,14600
MAF,,,,,,,,,,,,,,,,,,,,,,
VCT,,19200,19100,20400,21300,21400,20000,17900,15900,14200,12500,10600,9200,8400,7900,7300,6700,6300,5900,5600,5300,5000
SSF,,33640.64297,33231.49044,32690.02314,31995.22379,31207.66769,30380.42112,29711.87861,29161.8442,28842.1088,28489.21811,28065.68023,27439.57388,26666.27865,25851.19068,25160.58612,24746.8266,24544.32829,24381.46711,24284.18374,24326.26264,24504.122
